"Security Engineer Skill Assessment - Jul 19, 2024 - 4:34:48 PM",,,,,,,,,
,,,,,,,,,
Score Overview ,,,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the services and identity types of Microsoft Entra ID,These devices are set up as Microsoft Entra joined.,These devices are set up as Microsoft Entra joined.,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the services and identity types of Microsoft Entra ID,These devices are set up as Microsoft Entra hybrid joined.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the authentication capabilities of Microsoft Entra ID,Multi-factor authentication.,Multi-factor authentication.,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the authentication capabilities of Microsoft Entra ID,Require security questions for all sign-ins.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the authentication capabilities of Microsoft Entra ID,Require strong passwords for all identities.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the access management capabilities of Microsoft Entra ID,Create policies that enforce organizational rules.,Create policies that enforce organizational rules.,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the access management capabilities of Microsoft Entra ID,Check that all users have multi-factor authentication enabled.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the access management capabilities of Microsoft Entra ID,Amend your apps to allow Conditional Access.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the identity protection and governance capabilities of Microsoft Entra ID,Entitlement management.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the identity protection and governance capabilities of Microsoft Entra ID,Microsoft Entra ID Terms of Use.,Microsoft Entra ID Terms of Use.,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the identity protection and governance capabilities of Microsoft Entra ID,Identity Protection.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe basic security capabilities in Azure,Transparent data encryption,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe basic security capabilities in Azure,Secrets management,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe basic security capabilities in Azure,Azure Key Vault,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe security management capabilities of Azure,Cloud security posture management (CSPM),,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe security management capabilities of Azure,Cloud workload protection (CWP),,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe security management capabilities of Azure,Microsoft Cloud security benchmark,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe security capabilities of Microsoft Sentinel,"Collect, Detect, Investigate, and Redirect.",,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe security capabilities of Microsoft Sentinel,"Collect, Detect, Investigate, and Respond.","Collect, Detect, Investigate, and Respond.",,,,,,
"Security, Compliance, and Identity Fundamentals",Describe security capabilities of Microsoft Sentinel,"Collect, Detect, Investigate, and Repair.",,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe threat protection with Microsoft 365 Defender,Microsoft Defender for Office 365.,Microsoft Defender for Office 365.,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe threat protection with Microsoft 365 Defender,Microsoft Defender for Endpoint.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe threat protection with Microsoft 365 Defender,Microsoft Defender for Identity.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the Service Trust Portal and privacy at Microsoft,"Customer control, transparency, and security",,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the Service Trust Portal and privacy at Microsoft,"Shared responsibility, transparency, and security",,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the Service Trust Portal and privacy at Microsoft,"Customer control, transparency, and zero trust","Customer control, transparency, and zero trust",,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the compliance management capabilities in Microsoft Purview,Controls that both external regulators and Microsoft share responsibility for implementing.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the compliance management capabilities in Microsoft Purview,Controls that both your organization and external regulators share responsibility for implementing.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the compliance management capabilities in Microsoft Purview,Controls that both your organization and Microsoft share responsibility for implementing.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe information protection and data lifecycle management in Microsoft Purview,Know your data,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe information protection and data lifecycle management in Microsoft Purview,Prevent data loss,Prevent data loss,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe information protection and data lifecycle management in Microsoft Purview,Govern your data,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe insider risk capabilities in Microsoft Purview,To identify and protect against risks like an employee sharing confidential information.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe insider risk capabilities in Microsoft Purview,"To identify and protect against malicious software across your network, such as ransomware.",,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe insider risk capabilities in Microsoft Purview,To identify and protect against devices shutting down at critical moments.,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the eDiscovery and audit capabilities of Microsoft Purview,Audit (Premium),,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the eDiscovery and audit capabilities of Microsoft Purview,Search,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe the eDiscovery and audit capabilities of Microsoft Purview,eDiscovery (Standard),,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe resource governance capabilities in Azure,Azure Policy,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe resource governance capabilities in Azure,Azure Rapid Build,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe resource governance capabilities in Azure,Azure Blueprints,,,,,,,
"Security, Compliance, and Identity Fundamentals","Describe basic cybersecurity threats, attacks, and mitigations","Conformity, identity, and authorization.",,,,,,,
"Security, Compliance, and Identity Fundamentals","Describe basic cybersecurity threats, attacks, and mitigations","Confidentiality, integrity, and availability.",,,,,,,
"Security, Compliance, and Identity Fundamentals","Describe basic cybersecurity threats, attacks, and mitigations","Confidentiality, identity, authorization.",,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe concepts of cryptography,Three,,,,,,,
"Security, Compliance, and Identity Fundamentals",Describe concepts of cryptography,One,One,,,,,,
